epoch,loss,pearson_metric_cut,val_loss,val_pearson_metric_cut
0,2.4144415874616243e-05,-2.4144415874616243e-05,0.00037744679138995707,-0.00037744679138995707
1,5.8591438573785126e-05,-5.8591438573785126e-05,2.8549926355481148e-05,-2.8549926355481148e-05
2,7.598091178806499e-05,-7.598091178806499e-05,0.0002946548047475517,-0.0002946548047475517
3,7.232929056044668e-05,-7.232929056044668e-05,0.00020439202489797026,-0.00020439202489797026
4,2.8448675948311575e-05,-2.8448675948311575e-05,0.00023949563910719007,-0.00023949563910719007
5,9.306085848947987e-05,-9.306085848947987e-05,-8.326044189743698e-05,8.326044189743698e-05
6,1.0179985110880807e-05,-1.0179985110880807e-05,0.00019079774210695177,-0.00019079774210695177
7,3.4297943784622476e-05,-3.4297943784622476e-05,0.00012129043898312375,-0.00012129043898312375
8,8.367159898625687e-05,-8.367159898625687e-05,-0.000132768414914608,0.000132768414914608
9,-3.486546847852878e-05,3.486546847852878e-05,0.0006623758818022907,-0.0006623758818022907
10,0.00013454184227157384,-0.00013454184227157384,5.8734516642289236e-05,-5.8734516642289236e-05
11,0.00016244249127339572,-0.00016244249127339572,0.0003228503046557307,-0.0003228503046557307
12,-8.45362592372112e-06,8.45362592372112e-06,0.000755251501686871,-0.000755251501686871
13,0.00017293644486926496,-0.00017293644486926496,0.0006057670107111335,-0.0006057670107111335
